"","subject","question","sheet","order","rating","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","sentence","type","guise"
"6721","1","1","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some rain is wet and falls from the sky.","UI","Human"
"6722","1","2","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some baseballs are round and can be thrown.","UI","Human"
"6723","1","3","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some wine is liquid and can be drunk.","UI","Human"
"6724","1","4","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some books have pages in them.","UI","Human"
"6725","1","5","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some toast is bread that is heated.","UI","Human"
"6726","1","6","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some chickens have feathers on their bodies.","UI","Human"
"6727","1","7","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some colleges have students that attend class.","UI","Human"
"6728","1","8","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some food is edible.","UI","Human"
"6729","1","9","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some restaurants serve food to their customers.","UI","Human"
"6730","1","10","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some helicopters have propellers.","UI","Human"
"6731","1","11","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some restaurants serve pizza.","TS","Human"
"6732","1","12","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some clothes are expensive.","TS","Human"
"6733","1","13","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some houses are blue.","TS","Human"
"6734","1","14","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some men carry briefcases.","TS","Human"
"6735","1","15","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some singers are popular.","TS","Human"
"6736","1","16","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some Europeans have motorcycles.","TS","Human"
"6737","1","17","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some beaches are public.","TS","Human"
"6738","1","18","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some foods are allergens.","TS","Human"
"6739","1","19","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some birds can fly.","TS","Human"
"6741","1","21","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All pumpkins have seeds.","TA","Human"
"6742","1","22","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All atoms are small.","TA","Human"
"6743","1","23","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All elephants have trunks.","TA","Human"
"6744","1","24","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All watermelons are red inside.","TA","Human"
"6745","1","25","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All chameleons have skin that changes color.","TA","Human"
"6746","1","26","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All colleges have requirements for admission.","TA","Human"
"6747","1","27","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All dentists recommend cleaning your teeth.","TA","Human"
"6748","1","28","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All chocolate is candy.","TA","Human"
"6749","1","29","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All houses have rooms.","TA","Human"
"6750","1","30","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All apes have opposable thumbs.","TA","Human"
"6751","1","31","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All families have twins.","FA","Human"
"6752","1","32","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All animals are domesticated.","FA","Human"
"6753","1","33","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All magazines have gossip.","FA","Human"
"6754","1","34","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All shirts have long sleeves.","FA","Human"
"6755","1","35","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All bands play jazz.","FA","Human"
